Geo,Year,LtTrkProp
Accomack County,2024,0.54
Accomack County,2045,0.58
Albemarle County,2024,0.54
Albemarle County,2045,0.58
Alexandria City,2024,0.42
Alexandria City,2045,0.46
Alleghany County,2024,0.54
Alleghany County,2045,0.58
Amelia County,2024,0.54
Amelia County,2045,0.58
Amherst County,2024,0.54
Amherst County,2045,0.58
Appomattox County,2024,0.54
Appomattox County,2045,0.58
Arlington County,2024,0.42
Arlington County,2045,0.46
Augusta County,2024,0.54
Augusta County,2045,0.58
Bath County,2024,0.54
Bath County,2045,0.58
Bedford County,2024,0.54
Bedford County,2045,0.58
Bland County,2024,0.54
Bland County,2045,0.58
Botetourt County,2024,0.54
Botetourt County,2045,0.58
Bristol City,2024,0.42
Bristol City,2045,0.46
Brunswick County,2024,0.54
Brunswick County,2045,0.58
Buchanan County,2024,0.54
Buchanan County,2045,0.58
Buckingham County,2024,0.54
Buckingham County,2045,0.58
Buena Vista City,2024,0.42
Buena Vista City,2045,0.46
Campbell County,2024,0.54
Campbell County,2045,0.58
Caroline County,2024,0.54
Caroline County,2045,0.58
Carroll County,2024,0.54
Carroll County,2045,0.58
Charles City County,2024,0.42
Charles City County,2045,0.46
Charlotte County,2024,0.54
Charlotte County,2045,0.58
Charlottesville City,2024,0.42
Charlottesville City,2045,0.46
Chesapeake City,2024,0.42
Chesapeake City,2045,0.46
Chesterfield County,2024,0.46
Chesterfield County,2045,0.5
Clarke County,2024,0.54
Clarke County,2045,0.58
Colonial Heights City,2024,0.42
Colonial Heights City,2045,0.46
Covington City,2024,0.42
Covington City,2045,0.46
Craig County,2024,0.54
Craig County,2045,0.58
Culpeper County,2024,0.54
Culpeper County,2045,0.58
Cumberland County,2024,0.54
Cumberland County,2045,0.58
Danville City,2024,0.42
Danville City,2045,0.46
Dickenson County,2024,0.54
Dickenson County,2045,0.58
Dinwiddie County,2024,0.54
Dinwiddie County,2045,0.58
Emporia City,2024,0.42
Emporia City,2045,0.46
Essex County,2024,0.54
Essex County,2045,0.58
Fairfax City,2024,0.44
Fairfax City,2045,0.48
Fairfax County,2024,0.46
Fairfax County,2045,0.5
Falls Church City,2024,0.41
Falls Church City,2045,0.45
Fauquier County,2024,0.54
Fauquier County,2045,0.58
Floyd County,2024,0.54
Floyd County,2045,0.58
Fluvanna County,2024,0.54
Fluvanna County,2045,0.58
Franklin City,2024,0.42
Franklin City,2045,0.46
Franklin County,2024,0.54
Franklin County,2045,0.58
Frederick County,2024,0.54
Frederick County,2045,0.58
Fredericksburg City,2024,0.42
Fredericksburg City,2045,0.46
Galax City,2024,0.42
Galax City,2045,0.46
Giles County,2024,0.54
Giles County,2045,0.58
Gloucester County,2024,0.54
Gloucester County,2045,0.58
Goochland County,2024,0.54
Goochland County,2045,0.58
Grayson County,2024,0.54
Grayson County,2045,0.58
Greene County,2024,0.54
Greene County,2045,0.58
Greensville County,2024,0.54
Greensville County,2045,0.58
Halifax County,2024,0.54
Halifax County,2045,0.58
Hampton City,2024,0.42
Hampton City,2045,0.46
Hanover County,2024,0.46
Hanover County,2045,0.5
Harrisonburg City,2024,0.42
Harrisonburg City,2045,0.46
Henrico County,2024,0.46
Henrico County,2045,0.5
Henry County,2024,0.54
Henry County,2045,0.58
Highland County,2024,0.54
Highland County,2045,0.58
Hopewell City,2024,0.42
Hopewell City,2045,0.46
Isle of Wight County,2024,0.54
Isle of Wight County,2045,0.58
James City County,2024,0.42
James City County,2045,0.46
King and Queen County,2024,0.54
King and Queen County,2045,0.58
King George County,2024,0.54
King George County,2045,0.58
King William County,2024,0.54
King William County,2045,0.58
Lancaster County,2024,0.54
Lancaster County,2045,0.58
Lee County,2024,0.54
Lee County,2045,0.58
Lexington City,2024,0.42
Lexington City,2045,0.46
Loudoun County,2024,0.46
Loudoun County,2045,0.5
Louisa County,2024,0.54
Louisa County,2045,0.58
Lunenburg County,2024,0.54
Lunenburg County,2045,0.58
Lynchburg City,2024,0.42
Lynchburg City,2045,0.46
Madison County,2024,0.54
Madison County,2045,0.58
Manassas City,2024,0.42
Manassas City,2045,0.46
Manassas Park City,2024,0.42
Manassas Park City,2045,0.46
Martinsville City,2024,0.42
Martinsville City,2045,0.46
Mathews County,2024,0.54
Mathews County,2045,0.58
Mecklenburg County,2024,0.54
Mecklenburg County,2045,0.58
Middlesex County,2024,0.54
Middlesex County,2045,0.58
Montgomery County,2024,0.54
Montgomery County,2045,0.58
Nelson County,2024,0.54
Nelson County,2045,0.58
New Kent County,2024,0.54
New Kent County,2045,0.58
Newport News City,2024,0.42
Newport News City,2045,0.46
Norfolk City,2024,0.42
Norfolk City,2045,0.46
Northampton County,2024,0.54
Northampton County,2045,0.58
Northumberland County,2024,0.54
Northumberland County,2045,0.58
Norton City,2024,0.42
Norton City,2045,0.46
Nottoway County,2024,0.54
Nottoway County,2045,0.58
Orange County,2024,0.54
Orange County,2045,0.58
Page County,2024,0.54
Page County,2045,0.58
Patrick County,2024,0.54
Patrick County,2045,0.58
Petersburg City,2024,0.42
Petersburg City,2045,0.46
Pittsylvania County,2024,0.54
Pittsylvania County,2045,0.58
Poquoson City,2024,0.42
Poquoson City,2045,0.46
Portsmouth City,2024,0.42
Portsmouth City,2045,0.46
Powhatan County,2024,0.54
Powhatan County,2045,0.58
Prince Edward County,2024,0.54
Prince Edward County,2045,0.58
Prince George County,2024,0.54
Prince George County,2045,0.58
Prince William County,2024,0.46
Prince William County,2045,0.5
Pulaski County,2024,0.54
Pulaski County,2045,0.58
Radford City,2024,0.42
Radford City,2045,0.46
Rappahannock County,2024,0.54
Rappahannock County,2045,0.58
Richmond City,2024,0.42
Richmond City,2045,0.46
Richmond County,2024,0.54
Richmond County,2045,0.58
Roanoke City,2024,0.42
Roanoke City,2045,0.46
Roanoke County,2024,0.54
Roanoke County,2045,0.58
Rockbridge County,2024,0.54
Rockbridge County,2045,0.58
Rockingham County,2024,0.54
Rockingham County,2045,0.58
Russell County,2024,0.54
Russell County,2045,0.58
Salem City,2024,0.42
Salem City,2045,0.46
Scott County,2024,0.54
Scott County,2045,0.58
Shenandoah County,2024,0.54
Shenandoah County,2045,0.58
Smyth County,2024,0.54
Smyth County,2045,0.58
Southampton County,2024,0.54
Southampton County,2045,0.58
Spotsylvania County,2024,0.46
Spotsylvania County,2045,0.5
Stafford County,2024,0.46
Stafford County,2045,0.5
Staunton City,2024,0.42
Staunton City,2045,0.46
Suffolk City,2024,0.42
Suffolk City,2045,0.46
Surry County,2024,0.54
Surry County,2045,0.58
Sussex County,2024,0.54
Sussex County,2045,0.58
Tazewell County,2024,0.54
Tazewell County,2045,0.58
Virginia Beach City,2024,0.42
Virginia Beach City,2045,0.46
Warren County,2024,0.54
Warren County,2045,0.58
Washington County,2024,0.54
Washington County,2045,0.58
Waynesboro City,2024,0.42
Waynesboro City,2045,0.46
Westmoreland County,2024,0.54
Westmoreland County,2045,0.58
Williamsburg City,2024,0.42
Williamsburg City,2045,0.46
Winchester City,2024,0.42
Winchester City,2045,0.46
Wise County,2024,0.54
Wise County,2045,0.58
Wythe County,2024,0.54
Wythe County,2045,0.58
York County,2024,0.46
York County,2045,0.5
