Geo,Year,Age0to14,Age15to19,Age20to29,Age30to54,Age55to64,Age65Plus
Accomack County,2024,5750,1946,3023,9040,5086,8348
Accomack County,2045,5470,1403,2348,9948,4011,7669
Albemarle County,2024,18647,10259,14156,34345,14364,22852
Albemarle County,2045,22603,11096,15396,42571,16390,28427
Alexandria City,2024,25145,5745,21944,67303,17736,19931
Alexandria City,2045,29224,7602,32478,64597,24667,24914
Alleghany County,2024,2205,778,1650,4078,2338,3870
Alleghany County,2045,1999,607,1238,4453,1774,4144
Amelia County,2024,2346,683,1422,3968,2180,2799
Amelia County,2045,2672,748,1807,4477,1675,3392
Amherst County,2024,5209,1947,3473,9271,4713,6759
Amherst County,2045,5060,1783,3042,9607,3990,7790
Appomattox County,2024,3070,809,1878,4998,2313,3416
Appomattox County,2045,3207,901,2044,5337,2449,3868
Arlington County,2024,36330,9992,45452,94006,23752,27479
Arlington County,2045,41920,8836,46458,119129,25968,31012
Augusta County,2024,11683,4448,8440,24295,11734,17376
Augusta County,2045,12734,4299,7547,25127,11425,23341
Bath County,2024,612,118,336,1187,714,1132
Bath County,2045,388,77,415,1177,457,1225
Bedford County,2024,12735,4710,8288,23498,13004,18493
Bedford County,2045,14468,4502,7626,29536,11382,25153
Bland County,2024,707,257,670,2156,871,1535
Bland County,2045,694,196,579,1866,797,1833
Botetourt County,2024,4996,2063,3155,10106,5498,8145
Botetourt County,2045,4770,1765,2353,10958,5077,11711
Bristol City,2024,2829,1087,1842,5183,2155,3951
Bristol City,2045,3083,1052,1630,5454,1922,4457
Brunswick County,2024,1996,704,2268,4987,2363,3481
Brunswick County,2045,1671,629,1659,4920,2008,3621
Buchanan County,2024,2721,968,2029,6226,3074,4689
Buchanan County,2045,2205,704,1170,5127,2608,5308
Buckingham County,2024,2558,910,1811,5775,2442,3454
Buckingham County,2045,2919,1012,1657,5551,2413,4284
Buena Vista City,2024,1135,771,961,1721,818,1222
Buena Vista City,2045,1185,736,930,2039,717,1428
Campbell County,2024,8922,3502,6502,17194,8032,11523
Campbell County,2045,10188,3525,6170,22787,7510,12245
Caroline County,2024,6141,1842,3694,10413,4493,5228
Caroline County,2045,7145,2090,4365,12764,4960,6803
Carroll County,2024,4161,1517,3082,8249,4626,7520
Carroll County,2045,4106,1433,3178,8648,3475,8471
Charles City County,2024,791,301,664,1857,1306,1760
Charles City County,2045,944,346,660,2059,734,2011
Charlotte County,2024,2077,802,1119,3084,1801,2558
Charlotte County,2045,1832,661,1243,3427,1108,2684
Charlottesville City,2024,6534,2862,11458,14656,4646,6065
Charlottesville City,2045,7920,3095,12462,18166,5301,7544
Chesapeake City,2024,50394,16537,30730,86474,32588,36097
Chesapeake City,2045,54150,16398,32250,94275,40652,55587
Chesterfield County,2024,72709,26233,43181,125281,47848,59676
Chesterfield County,2045,82318,28980,48453,147708,53866,94150
Clarke County,2024,2171,1047,1385,4533,2636,3329
Clarke County,2045,2395,889,1209,5032,2283,4392
Colonial Heights City,2024,3715,898,1934,6132,2206,3351
Colonial Heights City,2045,3691,1007,1976,6367,2046,3731
Covington City,2024,1186,374,551,1614,818,1107
Covington City,2045,1076,292,414,1704,621,1185
Craig County,2024,1066,303,250,1414,898,947
Craig County,2045,1315,313,246,1427,529,1136
Culpeper County,2024,11122,3793,5712,17337,7108,9059
Culpeper County,2045,12916,3960,7061,21779,8284,13964
Cumberland County,2024,1493,582,964,2938,1512,2276
Cumberland County,2045,1930,719,1108,3215,978,2462
Danville City,2024,7868,2467,5343,11951,5706,8855
Danville City,2045,8377,2401,4537,12295,4645,9137
Dickenson County,2024,2165,717,1349,4242,1999,3401
Dickenson County,2045,1803,532,974,3723,1994,4077
Dinwiddie County,2024,4694,1576,3150,8934,4478,5289
Dinwiddie County,2045,4664,1767,3219,9277,4154,5888
Emporia City,2024,1216,454,616,1624,676,1051
Emporia City,2045,1113,386,499,1609,759,1424
Essex County,2024,1619,647,1091,3046,1711,2514
Essex County,2045,1965,851,1334,3292,1228,2677
Fairfax City,2024,4996,1408,3462,8070,3126,3555
Fairfax City,2045,5534,1444,3680,9154,3022,5080
Fairfax County,2024,218684,74674,140510,403891,144162,169148
Fairfax County,2045,242215,76595,149347,458129,139374,241726
Falls Church City,2024,2812,1238,1575,5054,1815,2183
Falls Church City,2045,3114,1270,1674,5733,1755,3119
Fauquier County,2024,14110,5062,7523,23833,11277,12632
Fauquier County,2045,14465,4918,7753,27296,12168,20479
Floyd County,2024,2297,870,1573,4581,2544,3751
Floyd County,2045,2509,803,1411,5071,2341,4821
Fluvanna County,2024,4543,1571,3023,8921,4083,5843
Fluvanna County,2045,5267,1565,3121,10824,4501,7856
Franklin City,2024,1823,534,832,2302,1140,1583
Franklin City,2045,1703,487,787,2243,1027,2082
Franklin County,2024,8435,3272,5782,15263,8959,13458
Franklin County,2045,9879,3218,5620,18116,6991,16787
Frederick County,2024,17586,5825,10487,30120,12928,17296
Frederick County,2045,21650,6339,12410,36760,13839,24409
Fredericksburg City,2024,5222,2474,6098,8646,2971,3265
Fredericksburg City,2045,6165,2662,6659,11489,3490,5459
Galax City,2024,1360,343,728,1924,1001,1339
Galax City,2045,1342,324,751,2018,752,1508
Giles County,2024,2715,858,1787,5112,2437,3703
Giles County,2045,2685,813,1444,5130,2041,4746
