Geo,Year,LtTrkProp
Accomack County,2024,0.125
Accomack County,2045,0.402
Albemarle County,2024,0.085
Albemarle County,2045,0.382
Alexandria City,2024,0.141
Alexandria City,2045,0.666
Alleghany County,2024,0.096
Alleghany County,2045,0.289
Amelia County,2024,0.085
Amelia County,2045,0.197
Amherst County,2024,0.102
Amherst County,2045,0.34
Appomattox County,2024,0.092
Appomattox County,2045,0.345
Arlington County,2024,0.14
Arlington County,2045,0.322
Augusta County,2024,0.098
Augusta County,2045,0.408
Bath County,2024,0.096
Bath County,2045,0.199
Bedford County,2024,0.088
Bedford County,2045,0.301
Bland County,2024,0.093
Bland County,2045,0.202
Botetourt County,2024,0.129
Botetourt County,2045,0.404
Bristol City,2024,0.078
Bristol City,2045,0.258
Brunswick County,2024,0.064
Brunswick County,2045,0.295
Buchanan County,2024,0.094
Buchanan County,2045,0.398
Buckingham County,2024,0.095
Buckingham County,2045,0.377
Buena Vista City,2024,0.07
Buena Vista City,2045,0.23
Campbell County,2024,0.111
Campbell County,2045,0.366
Caroline County,2024,0.088
Caroline County,2045,0.334
Carroll County,2024,0.066
Carroll County,2045,0.401
Charles City County,2024,0.071
Charles City County,2045,0.291
Charlotte County,2024,0.112
Charlotte County,2045,0.317
Charlottesville City,2024,0.135
Charlottesville City,2045,0.334
Chesapeake City,2024,0.195
Chesapeake City,2045,0.623
Chesterfield County,2024,0.079
Chesterfield County,2045,0.267
Clarke County,2024,0.071
Clarke County,2045,0.446
Colonial Heights City,2024,0.151
Colonial Heights City,2045,0.41
Covington City,2024,0.145
Covington City,2045,0.383
Craig County,2024,0.097
Craig County,2045,0.413
Culpeper County,2024,0.113
Culpeper County,2045,0.324
Cumberland County,2024,0.116
Cumberland County,2045,0.32
Danville City,2024,0.094
Danville City,2045,0.379
Dickenson County,2024,0.073
Dickenson County,2045,0.243
Dinwiddie County,2024,0.091
Dinwiddie County,2045,0.364
Emporia City,2024,0.155
Emporia City,2045,0.401
Essex County,2024,0.068
Essex County,2045,0.367
Fairfax City,2024,0.093
Fairfax City,2045,0.307
Fairfax County,2024,0.118
Fairfax County,2045,0.284
Falls Church City,2024,0.132
Falls Church City,2045,0.454
Fauquier County,2024,0.074
Fauquier County,2045,0.292
Floyd County,2024,0.112
Floyd County,2045,0.416
Fluvanna County,2024,0.103
Fluvanna County,2045,0.304
Franklin City,2024,0.09
Franklin City,2045,0.236
Franklin County,2024,0.093
Franklin County,2045,0.212
Frederick County,2024,0.084
Frederick County,2045,0.38
Fredericksburg City,2024,0.133
Fredericksburg City,2045,0.529
Galax City,2024,0.121
Galax City,2045,0.345
Giles County,2024,0.088
Giles County,2045,0.22
Gloucester County,2024,0.052
Gloucester County,2045,0.187
Goochland County,2024,0.072
Goochland County,2045,0.28
Grayson County,2024,0.077
Grayson County,2045,0.35
Greene County,2024,0.055
Greene County,2045,0.257
Greensville County,2024,0.07
Greensville County,2045,0.159
Halifax County,2024,0.079
Halifax County,2045,0.198
Hampton City,2024,0.184
Hampton City,2045,0.706
Hanover County,2024,0.084
Hanover County,2045,0.325
Harrisonburg City,2024,0.136
Harrisonburg City,2045,0.36
Henrico County,2024,0.145
Henrico County,2045,0.425
Henry County,2024,0.059
Henry County,2045,0.175
Highland County,2024,0.058
Highland County,2045,0.234
Hopewell City,2024,0.145
Hopewell City,2045,0.576
Isle of Wight County,2024,0.077
Isle of Wight County,2045,0.163
James City County,2024,0.117
James City County,2045,0.581
King and Queen County,2024,0.118
King and Queen County,2045,0.349
King George County,2024,0.079
King George County,2045,0.289
King William County,2024,0.105
King William County,2045,0.317
Lancaster County,2024,0.084
Lancaster County,2045,0.213
Lee County,2024,0.069
Lee County,2045,0.255
Lexington City,2024,0.122
Lexington City,2045,0.526
Loudoun County,2024,0.177
Loudoun County,2045,0.572
Louisa County,2024,0.108
Louisa County,2045,0.346
Lunenburg County,2024,0.071
Lunenburg County,2045,0.16
Lynchburg City,2024,0.12
Lynchburg City,2045,0.36
Madison County,2024,0.104
Madison County,2045,0.376
Manassas City,2024,0.077
Manassas City,2045,0.303
Manassas Park City,2024,0.096
Manassas Park City,2045,0.272
Martinsville City,2024,0.085
