Geo,Year,PropSovDvmtDiverted
Accomack County,2024,0.03
Accomack County,2045,0.25
Albemarle County,2024,0.03
Albemarle County,2045,0.25
Alexandria City,2024,0.05
Alexandria City,2045,0.35
Alleghany County,2024,0.03
Alleghany County,2045,0.25
Amelia County,2024,0.03
Amelia County,2045,0.25
Amherst County,2024,0.03
Amherst County,2045,0.25
Appomattox County,2024,0.03
Appomattox County,2045,0.25
Arlington County,2024,0.03
Arlington County,2045,0.25
Augusta County,2024,0.03
Augusta County,2045,0.25
Bath County,2024,0.03
Bath County,2045,0.25
Bedford County,2024,0.03
Bedford County,2045,0.25
Bland County,2024,0.03
Bland County,2045,0.25
Botetourt County,2024,0.03
Botetourt County,2045,0.25
Bristol City,2024,0.05
Bristol City,2045,0.35
Brunswick County,2024,0.03
Brunswick County,2045,0.25
Buchanan County,2024,0.03
Buchanan County,2045,0.25
Buckingham County,2024,0.03
Buckingham County,2045,0.25
Buena Vista City,2024,0.05
Buena Vista City,2045,0.35
Campbell County,2024,0.03
Campbell County,2045,0.25
Caroline County,2024,0.03
Caroline County,2045,0.25
Carroll County,2024,0.03
Carroll County,2045,0.25
Charles City County,2024,0.03
Charles City County,2045,0.25
Charlotte County,2024,0.03
Charlotte County,2045,0.25
Charlottesville City,2024,0.05
Charlottesville City,2045,0.35
Chesapeake City,2024,0.05
Chesapeake City,2045,0.35
Chesterfield County,2024,0.03
Chesterfield County,2045,0.25
Clarke County,2024,0.03
Clarke County,2045,0.25
Colonial Heights City,2024,0.05
Colonial Heights City,2045,0.35
Covington City,2024,0.05
Covington City,2045,0.35
Craig County,2024,0.03
Craig County,2045,0.25
Culpeper County,2024,0.03
Culpeper County,2045,0.25
Cumberland County,2024,0.03
Cumberland County,2045,0.25
Danville City,2024,0.05
Danville City,2045,0.35
Dickenson County,2024,0.03
Dickenson County,2045,0.25
Dinwiddie County,2024,0.03
Dinwiddie County,2045,0.25
Emporia City,2024,0.05
Emporia City,2045,0.35
Essex County,2024,0.03
Essex County,2045,0.25
Fairfax City,2024,0.05
Fairfax City,2045,0.35
Fairfax County,2024,0.03
Fairfax County,2045,0.25
Falls Church City,2024,0.05
Falls Church City,2045,0.35
Fauquier County,2024,0.03
Fauquier County,2045,0.25
Floyd County,2024,0.03
Floyd County,2045,0.25
Fluvanna County,2024,0.03
Fluvanna County,2045,0.25
Franklin City,2024,0.05
Franklin City,2045,0.35
Franklin County,2024,0.03
Franklin County,2045,0.25
Frederick County,2024,0.03
Frederick County,2045,0.25
Fredericksburg City,2024,0.05
Fredericksburg City,2045,0.35
Galax City,2024,0.05
Galax City,2045,0.35
Giles County,2024,0.03
Giles County,2045,0.25
Gloucester County,2024,0.03
Gloucester County,2045,0.25
Goochland County,2024,0.03
Goochland County,2045,0.25
Grayson County,2024,0.03
Grayson County,2045,0.25
Greene County,2024,0.03
Greene County,2045,0.25
Greensville County,2024,0.03
Greensville County,2045,0.25
Halifax County,2024,0.03
Halifax County,2045,0.25
Hampton City,2024,0.05
Hampton City,2045,0.35
Hanover County,2024,0.03
Hanover County,2045,0.25
Harrisonburg City,2024,0.05
Harrisonburg City,2045,0.35
Henrico County,2024,0.03
Henrico County,2045,0.25
Henry County,2024,0.03
Henry County,2045,0.25
Highland County,2024,0.03
Highland County,2045,0.25
Hopewell City,2024,0.05
Hopewell City,2045,0.35
Isle of Wight County,2024,0.03
Isle of Wight County,2045,0.25
James City County,2024,0.03
James City County,2045,0.25
King George County,2024,0.03
King George County,2045,0.25
King William County,2024,0.03
King William County,2045,0.25
King and Queen County,2024,0.03
King and Queen County,2045,0.25
Lancaster County,2024,0.03
Lancaster County,2045,0.25
Lee County,2024,0.03
Lee County,2045,0.25
Lexington City,2024,0.05
Lexington City,2045,0.35
Loudoun County,2024,0.03
Loudoun County,2045,0.25
Louisa County,2024,0.03
Louisa County,2045,0.25
Lunenburg County,2024,0.03
Lunenburg County,2045,0.25
Lynchburg City,2024,0.05
Lynchburg City,2045,0.35
Madison County,2024,0.03
Madison County,2045,0.25
Manassas City,2024,0.05
Manassas City,2045,0.35
Manassas Park City,2024,0.05
Manassas Park City,2045,0.35
Martinsville City,2024,0.05
Martinsville City,2045,0.35
Mathews County,2024,0.03
Mathews County,2045,0.25
Mecklenburg County,2024,0.03
