Geo,HhPropIncQ1,HhPropIncQ2,HhPropIncQ3,HhPropIncQ4,Year
5.10011E+11,0.315,0.37,0.257,0.058,2024
5.10011E+11,0.346,0.333,0.208,0.113,2024
5.10011E+11,0.298,0.306,0.304,0.092,2024
5.10011E+11,0.697,0.113,0.106,0.084,2024
5.10011E+11,0.324,0.525,0.139,0.012,2024
5.10011E+11,0.249,0.273,0.372,0.106,2024
5.10011E+11,0.674,0.294,0.02,0.012,2024
5.10011E+11,0.627,0.071,0.227,0.075,2024
5.10011E+11,0.137,0.233,0.41,0.22,2024
5.10011E+11,0.615,0.191,0.177,0.017,2024
5.10011E+11,0.699,0.176,0.125,0,2024
5.10011E+11,0.303,0.385,0.255,0.057,2024
5.10011E+11,0.311,0.521,0.166,0.002,2024
5.10011E+11,0.335,0.285,0.309,0.071,2024
5.10011E+11,0.485,0.286,0.163,0.066,2024
5.10011E+11,0.465,0.388,0.133,0.014,2024
5.10011E+11,0.605,0.179,0.173,0.043,2024
5.10011E+11,0.352,0.241,0.337,0.07,2024
5.10011E+11,0.48,0.269,0.238,0.013,2024
5.10011E+11,0.63,0.224,0.134,0.012,2024
5.10011E+11,0.466,0.285,0.111,0.138,2024
5.10011E+11,0.424,0.292,0.184,0.1,2024
5.10011E+11,0.21,0.382,0.29,0.118,2024
5.10011E+11,0.466,0.289,0.211,0.034,2024
5.10011E+11,0.662,0.152,0.175,0.011,2024
5.10011E+11,0.279,0.527,0.188,0.006,2024
5.10011E+11,0.269,0.449,0.099,0.183,2024
5.10011E+11,0.159,0.36,0.285,0.196,2024
5.10011E+11,0.26,0.369,0.263,0.108,2024
5.10011E+11,0.45,0.304,0.095,0.151,2024
5.10011E+11,0.542,0.239,0.149,0.07,2024
5.1002E+11,0,1,0,0,2024
5.1002E+11,0.25,0.25,0.25,0.25,2024
5.1002E+11,0.25,0.25,0.25,0.25,2024
5.1002E+11,0.25,0.25,0.25,0.25,2024
5.1003E+11,0.121,0.199,0.349,0.331,2024
5.1003E+11,0.218,0.356,0.222,0.204,2024
5.1003E+11,0.095,0.321,0.239,0.345,2024
