GeoIDTxt,Urban,Town,Rural
510010901011,984.18,0.00,0.00
510010901012,373.68,0.00,0.00
510010901021,479.42,0.00,0.00
510010901022,1151.75,0.00,0.00
510010902011,0.00,2968.01,2968.01
510010902012,0.00,4361.88,4361.88
510010902021,0.00,5229.13,5229.13
510010902022,0.00,5533.30,5533.30
510010902023,0.00,3203.69,3203.69
510010903001,0.00,5034.84,5034.84
510010903002,0.00,3887.07,3887.07
510010903003,0.00,3266.75,3266.75
510010904011,0.00,3819.33,3819.33
510010904012,0.00,4804.02,4804.02
510010904021,0.00,4190.48,4190.48
510010904022,0.00,4882.49,4882.49
510010905001,0.00,3443.56,3443.56
510010905002,0.00,1187.45,1187.45
510010905003,0.00,3192.91,3192.91
510010906001,0.00,989.25,989.25
510010906002,0.00,7840.44,7840.44
510010906003,0.00,358.59,358.59
510010906004,0.00,5075.12,5075.12
510010907001,0.00,2329.14,2329.14
510010907002,0.00,2006.01,2006.01
510010907003,0.00,2701.87,2701.87
510010907004,0.00,2943.87,2943.87
510010907005,0.00,8824.80,8824.80
510010908001,0.00,6393.23,6393.23
510010908002,0.00,7384.17,7384.17
510010908003,0.00,3376.91,3376.91
510019801001,0.00,769.80,769.80
510019802001,0.00,1746.58,1746.58
510019901000,0.00,0.12,0.12
510019902000,0.00,0.00,0.00
510030101001,0.00,9184.61,9184.61
510030101002,0.00,20361.71,20361.71
510030101003,0.00,7470.78,7470.78
510030102011,0.00,3739.27,3739.27
510030102012,0.00,363.19,363.19
510030102013,0.00,4263.48,4263.48
510030102021,0.00,3490.35,3490.35
510030102022,0.00,3660.31,3660.31
510030103011,0.00,900.65,900.65
510030103021,0.00,1067.48,0.00
510030103031,0.00,605.17,0.00
510030103032,0.00,892.86,892.86
510030103033,0.00,618.29,0.00
510030104011,0.00,12320.88,12320.88
510030104012,0.00,9359.71,9359.71
510030104013,0.00,7549.61,7549.61
510030104021,6642.21,0.00,0.00
510030104022,0.00,3777.77,0.00
510030104023,0.00,1636.99,0.00
510030105011,0.00,1532.81,1532.81
510030105012,0.00,1965.83,0.00
510030105021,0.00,806.06,0.00
510030105022,0.00,203.36,0.00
510030105023,0.00,140.11,0.00
510030106021,708.09,0.00,0.00
510030106022,268.29,0.00,0.00
510030106023,276.81,0.00,0.00
510030106031,181.45,0.00,0.00
510030106032,177.52,0.00,0.00
