Geo,Year,FwyLaneMi,ArtLaneMi
Accomack County,2024,0,284.66
Accomack County,2045,0,284.66
Albemarle County,2024,124.8,384.3
Albemarle County,2045,124.8,390.87
Alexandria City,2024,27,270.3
Alexandria City,2045,27,270.3
Alleghany County,2024,163.96,156.42
Alleghany County,2045,163.96,158.54
Amelia County,2024,0,114.48
Amelia County,2045,0,114.48
Amherst County,2024,0,295.03
Amherst County,2045,0,297.99
Appomattox County,2024,0,148.63
Appomattox County,2045,0,149.79
Arlington County,2024,80.28,141.6
Arlington County,2045,88.95,141.6
Augusta County,2024,178.2,413
Augusta County,2045,178.2,475.67
Bath County,2024,0,149.62
Bath County,2045,0,149.83
Bedford County,2024,0,383.57
Bedford County,2045,0,383.57
Bland County,2024,86.76,156.1
Bland County,2045,86.76,156.1
Botetourt County,2024,107.44,264.35
Botetourt County,2045,107.44,264.35
Bristol City,2024,53.34,116.94
Bristol City,2045,53.34,116.94
Brunswick County,2024,83.08,248.99
Brunswick County,2045,83.08,248.99
Buchanan County,2024,0,212.47
Buchanan County,2045,0,261.85
Buckingham County,2024,0,198.95
Buckingham County,2045,0,206.34
Buena Vista City,2024,0,33.6
Buena Vista City,2045,0,33.6
Campbell County,2024,0,327.46
Campbell County,2045,0,339.78
Caroline County,2024,93.24,294.4
Caroline County,2045,93.24,298.63
Carroll County,2024,103.66,236.8
Carroll County,2045,103.66,236.8
Charles City County,2024,0,89.42
Charles City County,2045,0,89.42
Charlotte County,2024,0,275.4
Charlotte County,2045,0,275.4
Charlottesville City,2024,1.02,145.74
Charlottesville City,2045,1.02,145.74
Chesapeake City,2024,142.14,919.56
Chesapeake City,2045,142.14,919.56
Chesterfield County,2024,155.27,587.31
Chesterfield County,2045,155.27,640.51
Clarke County,2024,0,149.08
Clarke County,2045,0,149.08
Colonial Heights City,2024,21.42,50.4
Colonial Heights City,2045,21.42,50.4
Covington City,2024,8.94,18.24
Covington City,2045,8.94,18.24
Craig County,2024,0,119.32
Craig County,2045,0,119.32
Culpeper County,2024,0,236.74
Culpeper County,2045,0,236.74
Cumberland County,2024,0,106.28
Cumberland County,2045,0,106.28
Danville City,2024,0,352.38
Danville City,2045,0,352.38
Dickenson County,2024,0,168.03
Dickenson County,2045,0,168.03
Dinwiddie County,2024,114.96,242.42
Dinwiddie County,2045,114.96,246.66
Emporia City,2024,10.02,33.06
Emporia City,2045,10.02,33.06
Essex County,2024,0,171.09
Essex County,2045,0,171.09
Fairfax City,2024,0,91.86
Fairfax City,2045,0,91.86
Fairfax County,2024,567.25,795.46
Fairfax County,2045,567.25,916.27
Falls Church City,2024,0,34.2
Falls Church City,2045,0,34.2
Fauquier County,2024,87.72,342.36
Fauquier County,2045,87.72,406.84
Floyd County,2024,0,112.74
Floyd County,2045,0,112.74
Fluvanna County,2024,0,103.46
Fluvanna County,2045,0,103.46
Franklin City,2024,0,46.2
Franklin City,2045,0,46.2
Franklin County,2024,0,241.8
Franklin County,2045,0,251.02
Frederick County,2024,95.28,324.07
Frederick County,2045,95.28,324.07
Fredericksburg City,2024,19.08,87.3
Fredericksburg City,2045,19.08,87.3
Galax City,2024,0,76.26
Galax City,2045,0,76.26
Giles County,2024,0,230.76
Giles County,2045,0,230.76
Gloucester County,2024,0,188.89
Gloucester County,2045,0,202.42
Goochland County,2024,114.48,192.27
Goochland County,2045,114.48,192.27
Grayson County,2024,0,235.34
Grayson County,2045,0,235.34
Greene County,2024,0,89.38
Greene County,2045,0,89.38
Greensville County,2024,68.56,88.11
Greensville County,2045,68.56,88.11
Halifax County,2024,0,431.19
Halifax County,2045,0,431.19
Hampton City,2024,93.72,401.64
Hampton City,2045,93.72,401.64
Hanover County,2024,172.59,236.76
Hanover County,2045,172.59,236.76
Harrisonburg City,2024,38.64,181.08
Harrisonburg City,2045,38.64,181.08
Henrico County,2024,392.1,408.17
Henrico County,2045,392.1,410.06
Henry County,2024,0,341.28
Henry County,2045,0,341.28
Highland County,2024,0,142.24
Highland County,2045,0,142.24
Hopewell City,2024,18.9,106.68
Hopewell City,2045,18.9,106.68
Isle of Wight County,2024,0,225.27
Isle of Wight County,2045,0,225.69
James City County,2024,35.17,193.98
James City County,2045,37.23,193.98
King and Queen County,2024,0,137.16
King and Queen County,2045,0,137.16
King George County,2024,0,209.01
King George County,2045,0,212.83
King William County,2024,0,113
King William County,2045,0,113
Lancaster County,2024,0,126.16
Lancaster County,2045,0,126.69
Lee County,2024,0,333.41
Lee County,2045,0,333.41
Lexington City,2024,0,26.76
Lexington City,2045,0,26.76
Loudoun County,2024,0,389.09
Loudoun County,2045,0,389.09
Louisa County,2024,66.2,251.31
Louisa County,2045,66.2,309.71
Lunenburg County,2024,0,127.1
Lunenburg County,2045,0,127.1
Lynchburg City,2024,0,480.48
Lynchburg City,2045,0,580.56
Madison County,2024,0,158.68
Madison County,2045,0,158.68
Manassas City,2024,0,139.92
Manassas City,2045,0,139.92
Manassas Park City,2024,0,10.62
Manassas Park City,2045,0,10.62
Martinsville City,2024,0,130.86
Martinsville City,2045,0,130.86
Mathews County,2024,0,67.19
Mathews County,2045,0,67.19
Mecklenburg County,2024,78.08,423.74
Mecklenburg County,2045,78.08,423.74
Middlesex County,2024,0,135.87
