Geo,Year,DRRevMi,VPRevMi,MBRevMi,RBRevMi,MGRevMi,SRRevMi,HRRevMi,CRRevMi
Accomack County,2024,56325,0,484117,0,0,0,0,0
Accomack County,2045,219940,0,881574,0,0,0,0,0
Albemarle County,2024,0,0,0,0,0,0,0,0
Albemarle County,2045,0,0,0,0,0,0,0,0
Alexandria City,2024,356158,0,3168633,0,0,0,0,2593603
Alexandria City,2045,1126274,0,5030213,0,0,0,0,11761709
Alleghany County,2024,0,0,0,0,0,0,0,0
Alleghany County,2045,0,0,0,0,0,0,0,0
Amelia County,2024,0,0,0,0,0,0,0,0
Amelia County,2045,0,0,0,0,0,0,0,0
Amherst County,2024,0,0,0,0,0,0,0,0
Amherst County,2045,0,0,0,0,0,0,0,0
Appomattox County,2024,0,0,0,0,0,0,0,0
Appomattox County,2045,0,0,0,0,0,0,0,0
Arlington County,2024,387947,0,2017406,0,0,0,0,0
Arlington County,2045,1371999,0,3560815,0,0,0,0,0
Augusta County,2024,0,0,0,0,0,0,0,0
Augusta County,2045,0,0,0,0,0,0,0,0
Bath County,2024,0,0,0,0,0,0,0,0
Bath County,2045,0,0,0,0,0,0,0,0
Bedford County,2024,0,0,0,0,0,0,0,0
Bedford County,2045,0,0,0,0,0,0,0,0
Bland County,2024,0,0,0,0,0,0,0,0
Bland County,2045,0,0,0,0,0,0,0,0
Botetourt County,2024,0,0,0,0,0,0,0,0
Botetourt County,2045,0,0,0,0,0,0,0,0
Bristol City,2024,3930,0,130503,0,0,0,0,0
Bristol City,2045,16589,0,172269,0,0,0,0,0
Brunswick County,2024,0,0,0,0,0,0,0,0
Brunswick County,2045,0,0,0,0,0,0,0,0
Buchanan County,2024,0,0,0,0,0,0,0,0
Buchanan County,2045,0,0,0,0,0,0,0,0
Buckingham County,2024,0,0,0,0,0,0,0,0
Buckingham County,2045,0,0,0,0,0,0,0,0
Buena Vista City,2024,0,0,0,0,0,0,0,0
Buena Vista City,2045,0,0,0,0,0,0,0,0
Campbell County,2024,0,0,48483,0,0,0,0,0
Campbell County,2045,0,0,92688,0,0,0,0,0
Caroline County,2024,0,0,0,0,0,0,0,0
Caroline County,2045,0,0,0,0,0,0,0,0
Carroll County,2024,0,0,0,0,0,0,0,0
Carroll County,2045,0,0,0,0,0,0,0,0
Charles City County,2024,0,0,0,0,0,0,0,0
Charles City County,2045,0,0,0,0,0,0,0,0
