Scenario,Global,Year,HhId,WkrId,Bzone,Azone,Marea,DistanceToWork,PaysForParking,IsCashOut,ParkingCost,IsECO
SayedMM,,2045,ZNHPO1-1,ZNHPO1-1-1,101,ZNHPO1,HYPO,3.95742852170948,0,0,0,0
SayedMM,,2045,ZNHPO1-2,ZNHPO1-2-1,103,ZNHPO2,HYPO,8.2188908412302,0,0,0,0
SayedMM,,2045,ZNHPO1-3,ZNHPO1-3-1,102,ZNHPO2,HYPO,5.20641494505631,0,0,0,0
SayedMM,,2045,ZNHPO1-4,ZNHPO1-4-1,102,ZNHPO2,HYPO,4.43837544562545,0,0,0,0
SayedMM,,2045,ZNHPO1-4,ZNHPO1-4-2,101,ZNHPO1,HYPO,3.95742852170948,0,0,0,0
SayedMM,,2045,ZNHPO1-5,ZNHPO1-5-1,100,ZNHPO1,HYPO,3.95742852170948,0,0,0,0
SayedMM,,2045,ZNHPO1-7,ZNHPO1-7-1,101,ZNHPO1,HYPO,3.95742852170948,0,0,0,0
SayedMM,,2045,ZNHPO1-8,ZNHPO1-8-1,101,ZNHPO1,HYPO,15.2612610385063,0,0,0,0
SayedMM,,2045,ZNHPO1-9,ZNHPO1-9-1,100,ZNHPO1,HYPO,3.95742852170948,0,0,0,0
SayedMM,,2045,ZNHPO1-10,ZNHPO1-10-1,101,ZNHPO1,HYPO,3.95742852170948,0,0,0,0
SayedMM,,2045,ZNHPO1-11,ZNHPO1-11-1,101,ZNHPO1,HYPO,3.95742852170948,0,0,0,0
SayedMM,,2045,ZNHPO1-13,ZNHPO1-13-1,101,ZNHPO1,HYPO,15.2612610385063,0,0,0,0
SayedMM,,2045,ZNHPO1-13,ZNHPO1-13-2,101,ZNHPO1,HYPO,15.2612610385063,0,0,0,0
SayedMM,,2045,ZNHPO1-15,ZNHPO1-15-1,104,ZNHPO1,HYPO,7.08142408922568,0,0,0,0
SayedMM,,2045,ZNHPO1-15,ZNHPO1-15-2,104,ZNHPO1,HYPO,7.08142408922568,1,0,0,0
SayedMM,,2045,ZNHPO1-16,ZNHPO1-16-1,101,ZNHPO1,HYPO,3.95742852170948,0,0,0,0
SayedMM,,2045,ZNHPO1-18,ZNHPO1-18-1,102,ZNHPO2,HYPO,5.20641494505631,0,0,0,0
SayedMM,,2045,ZNHPO1-18,ZNHPO1-18-2,100,ZNHPO1,HYPO,3.95742852170948,0,0,0,0
SayedMM,,2045,ZNHPO1-19,ZNHPO1-19-1,102,ZNHPO2,HYPO,5.20641494505631,0,0,0,0
SayedMM,,2045,ZNHPO1-21,ZNHPO1-21-1,101,ZNHPO1,HYPO,3.95742852170948,0,0,0,0
SayedMM,,2045,ZNHPO1-22,ZNHPO1-22-1,100,ZNHPO1,HYPO,3.95742852170948,1,0,2.6,0
SayedMM,,2045,ZNHPO1-23,ZNHPO1-23-1,100,ZNHPO1,HYPO,3.95742852170948,0,0,0,0
SayedMM,,2045,ZNHPO1-23,ZNHPO1-23-2,101,ZNHPO1,HYPO,3.95742852170948,0,0,0,0
SayedMM,,2045,ZNHPO1-23,ZNHPO1-23-3,101,ZNHPO1,HYPO,3.95742852170948,0,0,0,0
SayedMM,,2045,ZNHPO1-27,ZNHPO1-27-1,102,ZNHPO2,HYPO,4.43837544562545,0,0,0,0
SayedMM,,2045,ZNHPO1-29,ZNHPO1-29-1,100,ZNHPO1,HYPO,15.9168801049657,0,0,0,0
SayedMM,,2045,ZNHPO1-29,ZNHPO1-29-2,101,ZNHPO1,HYPO,15.2612610385063,0,0,0,0
SayedMM,,2045,ZNHPO1-30,ZNHPO1-30-1,102,ZNHPO2,HYPO,5.20641494505631,0,0,0,0
SayedMM,,2045,ZNHPO1-31,ZNHPO1-31-1,103,ZNHPO2,HYPO,7.08142408922568,0,0,0,0
SayedMM,,2045,ZNHPO1-31,ZNHPO1-31-2,103,ZNHPO2,HYPO,7.08142408922568,0,0,0,0
SayedMM,,2045,ZNHPO1-32,ZNHPO1-32-1,101,ZNHPO1,HYPO,15.2612610385063,0,0,0,0
SayedMM,,2045,ZNHPO1-35,ZNHPO1-35-1,102,ZNHPO2,HYPO,4.43837544562545,0,0,0,0
SayedMM,,2045,ZNHPO1-36,ZNHPO1-36-1,102,ZNHPO2,HYPO,4.43837544562545,0,0,0,0
SayedMM,,2045,ZNHPO1-38,ZNHPO1-38-1,100,ZNHPO1,HYPO,3.95742852170948,0,0,0,0
SayedMM,,2045,ZNHPO1-39,ZNHPO1-39-1,101,ZNHPO1,HYPO,3.95742852170948,0,0,0,0
SayedMM,,2045,ZNHPO1-39,ZNHPO1-39-2,101,ZNHPO1,HYPO,3.95742852170948,0,0,0,0
SayedMM,,2045,ZNHPO1-42,ZNHPO1-42-1,103,ZNHPO2,HYPO,9.49146683765361,0,0,0,0
SayedMM,,2045,ZNHPO1-42,ZNHPO1-42-2,101,ZNHPO1,HYPO,3.95742852170948,0,0,0,0
SayedMM,,2045,ZNHPO1-42,ZNHPO1-42-3,102,ZNHPO2,HYPO,5.20641494505631,0,0,0,0
SayedMM,,2045,ZNHPO1-43,ZNHPO1-43-1,101,ZNHPO1,HYPO,3.95742852170948,0,0,0,0
