order,expected_file,expected_relative_path,matched_updated_file,match_type,status,notes
1,azone_carsvc_characteristics.csv,inputs/azone_carsvc_characteristics.csv,01_azone_carsvc_characteristic.csv,manual_mapping,injected,Approved manual mapping: Singular/plural filename drift
2,azone_charging_availability.csv,inputs/azone_charging_availability.csv,02_azone_charging_availability.csv,exact,injected,
3,azone_electricity_carbon_intensity.csv,inputs/azone_electricity_carbon_intensity.csv,03_azone_electricity_carbon_intensity.csv,exact,injected,
4,azone_fuel_power_cost.csv,inputs/azone_fuel_power_cost.csv,04_azone_fuel_power_cost.csv,exact,injected,
5,azone_gq_pop_by_age.csv,inputs/azone_gq_pop_by_age.csv,05_azone_gq_pop_by_age.csv,exact,injected,
6,azone_hh_av_veh_per_driver.csv,inputs/azone_hh_av_veh_per_driver.csv,06_azone_hh_av_veh_per_driver.csv,exact,injected,
7,azone_hh_lttrk_prop.csv,inputs/azone_hh_lttrk_prop.csv,07_azone_hh_Ittrk_prop.csv,manual_mapping,injected,Approved manual mapping: Likely lowercase-l/uppercase-I filename drift
8,azone_hh_pop_by_age.csv,inputs/azone_hh_pop_by_age.csv,08_azone_hh_pop_by_age_year.csv,manual_mapping,injected,Approved manual mapping: Updated filename includes year suffix
9,azone_hh_veh_mean_age.csv,inputs/azone_hh_veh_mean_age.csv,09_azone_hh_veh_mean_age.csv,exact,injected,
10,marea_census_r.csv,inputs/marea_census_r.csv,10_marea_census_r.csv,exact,injected,
11,azone_hh_veh_own_taxes.csv,inputs/azone_hh_veh_own_taxes.csv,11_azone_hh_veh_own_taxes.csv,exact,injected,
12,azone_hhsize_targets.csv,inputs/azone_hhsize_targets.csv,12_azone_hhsize_targets.csv,exact,injected,
13,azone_lttrk_prop.csv,inputs/azone_lttrk_prop.csv,13_azone_Ittrk_prop.csv,manual_mapping,injected,Approved manual mapping: Likely lowercase-l/uppercase-I filename drift
14,azone_payd_insurance_prop.csv,inputs/azone_payd_insurance_prop.csv,,template_existing,template_existing,No updated CSV match found; copied template file is retained.
15,azone_per_cap_inc.csv,inputs/azone_per_cap_inc.csv,15_azone_per_cap_inc.csv,exact,injected,
16,azone_prop_sov_dvmt_diverted.csv,inputs/azone_prop_sov_dvmt_diverted.csv,16_azone_prop_sov_dvmt_diverted(in).csv,manual_mapping,injected,Approved manual mapping: Updated filename includes parenthetical suffix
17,azone_relative_employment.csv,inputs/azone_relative_employment.csv,17_azone_relative_employment.csv,exact,injected,
18,azone_veh_use_taxes.csv,inputs/azone_veh_use_taxes.csv,18_azone_veh_use_taxes.csv,exact,injected,
